,Name,Mac,BSSIDs,
wtp=1425,id=AP_SC_PresConf,base=90:6c:ac:92:bf:94,bssid=a2:6c:ac:92:bf:95,
,,,bssid=90:6c:ac:92:bf:95,
,,,bssid=a2:6c:ac:92:bf:9d,
,,,bssid=90:6c:ac:92:bf:9d,
,,,,
wtp=2255,id=AP_ADM_3002,base=08:5b:0e:e8:0e:96,bssid=1a:5b:0e:e8:0e:97,
,,,bssid=08:5b:0e:e8:0e:97,
,,,bssid=1a:5b:0e:e8:0e:9f,
,,,bssid=08:5b:0e:e8:0e:9f,
,,,,
wtp=2257,id=AP_ADM_3107,base=90:6c:ac:92:d2:a2,bssid=90:6c:ac:92:d2:a3,
,,,bssid=a2:6c:ac:92:d2:a3,
,,,bssid=90:6c:ac:92:d2:ab,
,,,bssid=a2:6c:ac:92:d2:ab,
,,,,
wtp=2258,id=AP_ADM_3212,base=90:6c:ac:92:b0:f4,bssid=a2:6c:ac:92:b0:f5,
,,,bssid=90:6c:ac:92:b0:f5,
,,,bssid=a2:6c:ac:92:b0:fd,
,,,bssid=90:6c:ac:92:b0:fd,
,,,,
wtp=2260,id=AP_ADM_3306,base=90:6c:ac:92:b0:76,bssid=90:6c:ac:92:b0:77,
,,,bssid=a2:6c:ac:92:b0:77,
,,,bssid=90:6c:ac:92:b0:7f,
,,,bssid=a2:6c:ac:92:b0:7f,
,,,,
wtp=2261,id=AP_ADM_3363,base=90:6c:ac:92:56:d0,bssid=a2:6c:ac:92:56:d1,
,,,bssid=90:6c:ac:92:56:d1,
,,,bssid=a2:6c:ac:92:56:d9,
,,,bssid=90:6c:ac:92:56:d9,
,,,,
wtp=2263,id=AP_ADM_CHANCELLORS,base=90:6c:ac:92:8d:de,bssid=90:6c:ac:92:8d:e7,
,,,bssid=b2:6c:ac:92:8d:e7,
,,,bssid=a2:6c:ac:92:8d:e7,
,,,bssid=90:6c:ac:92:8d:df,
,,,bssid=b2:6c:ac:92:8d:df,
,,,bssid=a2:6c:ac:92:8d:df,
,,,,
wtp=2264,id=AP_CLA_2228,base=08:5b:0e:e8:39:68,bssid=1a:5b:0e:e8:39:71,
,,,bssid=08:5b:0e:e8:39:71,
,,,bssid=1a:5b:0e:e8:39:69,
,,,bssid=08:5b:0e:e8:39:69,
,,,,
wtp=2265,id=AP_SCI_406,base=08:5b:0e:e8:10:58,bssid=1a:5b:0e:e8:10:59,
,,,bssid=08:5b:0e:e8:10:59,
,,,bssid=1a:5b:0e:e8:10:61,
,,,bssid=08:5b:0e:e8:10:61,
,,,,
wtp=2266,id=AP_CLA_2102,base=08:5b:0e:e8:3d:d6,bssid=1a:5b:0e:e8:3d:d7,
,,,bssid=08:5b:0e:e8:3d:d7,
,,,bssid=1a:5b:0e:e8:3d:df,
,,,bssid=08:5b:0e:e8:3d:df,
,,,,
wtp=2267,id=AP_CHAP_DATA,base=08:5b:0e:e7:f5:58,bssid=1a:5b:0e:e7:f5:61,
,,,bssid=08:5b:0e:e7:f5:61,
,,,bssid=1a:5b:0e:e7:f5:59,
,,,bssid=08:5b:0e:e7:f5:59,
,,,,
wtp=2268,id=AP_ADM_3309,base=90:6c:ac:92:b1:72,bssid=90:6c:ac:92:b1:73,
,,,bssid=a2:6c:ac:92:b1:73,
,,,bssid=90:6c:ac:92:b1:7b,
,,,bssid=a2:6c:ac:92:b1:7b,
,,,,
wtp=2269,id=AP_CCC_GYMSW,base=08:5b:0e:e7:fe:a0,bssid=1a:5b:0e:e7:fe:a9,
,,,bssid=08:5b:0e:e7:fe:a9,
,,,bssid=1a:5b:0e:e7:fe:a1,
,,,bssid=08:5b:0e:e7:fe:a1,
,,,,
wtp=2271,id=AP_CCC_FBALL,base=08:5b:0e:e7:ef:16,bssid=1a:5b:0e:e7:ef:1f,
,,,bssid=08:5b:0e:e7:ef:1f,
,,,bssid=1a:5b:0e:e7:ef:17,
