AP NAME,SSID,MAC,Site,Building,Room
AP_MUR_307,TMC_RESIDENT,f0:9f:c2:3c:ab:4f,Main,RESD,RESD 307A
AP_MUR_308,TMC_RESIDENT,f0:9f:c2:3c:aa:28,Main,RESD,RESD 308A
AP_MUR_310,TMC_RESIDENT,f0:9f:c2:3c:ab:ed,Main,RESD,RESD 310A
AP_MUR_405,TMC_RESIDENT,f0:9f:c2:3c:a9:8d,Main,RESD,RESD 104A
AP_MUR_406,TMC_RESIDENT,f0:9f:c2:3c:ac:63,Main,RESD,RESD 104A
AP_MUR_A2-1,TMC_RESIDENT,f0:9f:c2:3c:ab:4c,Main,RESD,MUR A2-1
AP_MUR_A2-2,TMC_RESIDENT,f0:9f:c2:3c:ab:1d,Main,RESD,MUR A2-2
AP_MUR_B2-1,TMC_RESIDENT,f0:9f:c2:3c:a9:f8,Main,RESD,MUR B2-1
AP_MUR_B2-2,TMC_RESIDENT,f0:9f:c2:3c:ac:15,Main,RESD,MUR B2-2
AP_MUR_REC,TMC_RESIDENT,f0:9f:c2:3c:ab:31,Main,RESD,MUR REC RM
,,,,,
AP_REN_,TMC_RESIDENT,**future,Main,,
AP_REN_,TMC_RESIDENT,**future,Main,,
AP_REN_,TMC_RESIDENT,**future,Main,,
AP_REN_,TMC_RESIDENT,**future,Main,,
AP_REN_,TMC_RESIDENT,**future,Main,,
AP_REN_,TMC_RESIDENT,**future,Main,,
AP_REN_,TMC_RESIDENT,**future,Main,,
AP_REN_,TMC_RESIDENT,**future,Main,,
AP_REN_,TMC_RESIDENT,**future,Main,,
AP_REN_,TMC_RESIDENT,**future,Main,,
AP_REN_,TMC_RESIDENT,**future,Main,,
AP_REN_,TMC_RESIDENT,**future,Main,,
AP_REN_,TMC_RESIDENT,**future,Main,,
AP_REN_,TMC_RESIDENT,**future,Main,,
AP_REN_,TMC_RESIDENT,**future,Main,,
AP_REN_,TMC_RESIDENT,**future,Main,,
AP_REN_,TMC_RESIDENT,**future,Main,,
AP_REN_,TMC_RESIDENT,**future,Main,,
AP_REN_,TMC_RESIDENT,**future,Main,,
AP_REN_,TMC_RESIDENT,**future,Main,,
AP_REN_,TMC_RESIDENT,**future,Main,,
AP_REN_,TMC_RESIDENT,**future,Main,,
AP_REN_,TMC_RESIDENT,**future,Main,,
AP_REN_,TMC_RESIDENT,**future,Main,,
,,,,,
Campus Buildings,,,,,
AP_ADM_3002,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e8:0e:97,Main,Admin (3),3002 - Student Life Offices
AP_ADM_3107,TMC_PUBLIC / TMC_SECURE,90:6c:ac:92:d2:a3,Main,Admin (3),3107
AP_ADM_3109,TMC_PUBLIC / TMC_SECURE,90:6c:ac:92:d9:2d,Main,Admin (3),3109
AP_ADM_3117,TMC_PUBLIC / TMC_SECURE,90:6c:ac:92:d9:bd,Main,Admin (3),3118 - OFC SERV
AP_ADM_3123,TMC_PUBLIC / TMC_SECURE,90:6c:ac:92:8e:15,Main,Admin (3),3123
AP_ADM_3140,TMC_PUBLIC / TMC_SECURE,90:6c:ac:92:da:71,Main,Admin (3),3140 - CC CONF
AP_ADM_3207,TMC_PUBLIC / TMC_SECURE,90:6c:ac:92:8d:cd,Main,Admin (3),3207
AP_ADM_3212,TMC_PUBLIC / TMC_SECURE,90:6c:ac:92:b0:f5,Main,Admin (3),3212
AP_ADM_3262,TMC_PUBLIC / TMC_SECURE,90:6c:ac:92:b1:61,Main,Admin (3),3262
AP_ADM_3302,TMC_PUBLIC / TMC_SECURE,90:6c:ac:92:b0:9b,Main,Admin (3),3302
AP_ADM_3304,TMC_PUBLIC / TMC_SECURE,90:6c:ac:92:bf:71,Main,Admin (3),3304
AP_ADM_3305,TMC_PUBLIC / TMC_SECURE,08:5b:0e:f3:4f:e9,Main,Admin (3),3305
AP_ADM_3306,TMC_PUBLIC / TMC_SECURE,90:6c:ac:92:b0:77,Main,Admin (3),3306
AP_ADM_3308,TMC_PUBLIC / TMC_SECURE,90:6c:ac:92:b0:bf,Main,Admin (3),3308
AP_ADM_3309,TMC_PUBLIC / TMC_SECURE,90:6c:ac:92:b1:73,Main,Admin (3),3309
AP_ADM_3310,TMC_PUBLIC / TMC_SECURE,90:6c:ac:92:b1:85,Main,Admin (3),3310
AP_ADM_3321,TMC_PUBLIC / TMC_SECURE,90:6c:ac:92:b1:3d,Main,Admin (3),3321
AP_ADM_3333,TMC_PUBLIC / TMC_SECURE,90:6c:ac:92:56:ad,Main,Admin (3),3333
AP_ADM_3363,TMC_PUBLIC / TMC_SECURE,90:6c:ac:92:56:d1,Main,Admin (3),3363
AP_ADM_Admissions,TMC_PUBLIC / TMC_SECURE,90:6c:ac:92:8e:39,Main,Admin (3),3231
AP_ADM_CCHall,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e8:03:45,Main,Admin (3),3130
AP_ADM_CFO,TMC_PUBLIC / TMC_SECURE,90:6c:ac:92:d9:3f,Main,Admin (3),3219
AP_ADM_Chancellors,TMC_PUBLIC / TMC_SECURE,90:6c:ac:92:8d:df,Main,Admin (3),CHAN Room
AP_ADM_Commons,TMC_PUBLIC / TMC_SECURE,90:6c:ac:93:b0:67,Main,Admin (3),3200 - Seiler Commons
AP_ADM_Villa,TMC_PUBLIC / TMC_SECURE,90:6c:ac:92:8e:5d,Main,Admin (3),3239 - Villa
,,,,,
AP_CAPE_1,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e7:f5:47,Main,CAP,CAPE 101
AP_CAPE_2,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e8:0f:db,Main,CAP,CAPE 101
,,,,,
AP_CCC_FBALL,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e7:ef:17,Main,CCC,Men's Locker RM
AP_CCC_GYMNE,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e8:0f:81,Main,CCC,GYM
AP_CCC_GYMNW,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e8:3e:1f,Main,CCC,GYM
AP_CCC_GYMSE,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e7:ff:e5,Main,CCC,GYM
AP_CCC_GYMSW,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e7:fe:a1,Main,CCC,GYM
AP_CCC_HOF,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e7:f3:cd,Main,CCC,Hall Of Fame Rm
AP_CCC_TRAIN,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e8:06:ff,Main,CCC,ATR OFFICE
AP_CCC_UL,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e8:08:af,Main,CCC,Main Athletic OFC
AP_CCC_VBALL,TMC_PUBLIC / TMC_SECURE,90:6c:ac:92:6e:17,Main,CCC,Volleyball OFC
AP_CCC_WGTRM,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e8:07:35,Main,CCC,GYM
,,,,,
AP_CHAP_DATA,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e7:f5:59,Main,Chapel,CHAPEL - SW
AP_CHAP_HVAC,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e8:0d:89,Main,Chapel,CHAPEL - HVAC
,,,,,
AP_CLA_2101,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e8:0e:bb,Main,CR (2),2101
AP_CLA_2102,TMC_PUBLIC / TMC_SECURE,08:5b:0e:e8:3d:d7,Main,CR (2),2102
