vf=0,wtp=2295,id=AP_CLA_2201,base=08:5b:0e:e8:3c:ff,10.1.5.50:37580(11)<->10.1.5.1:5247,use=7,10.1.5.50:5246
vf=0,wtp=2296,id=AP_ADM_3117,base=90:6c:ac:92:d9:bd,10.1.5.91:40548(11)<->10.1.5.1:5247,use=7,10.1.5.91:5246
vf=0,wtp=2298,id=AP_CAPE_2,base=08:5b:0e:e8:0f:db,10.1.5.5:52832(11)<->10.1.5.1:5247,use=7,10.1.5.5:5246
vf=0,wtp=2302,id=AP_ADM_COMMONS,base=90:6c:ac:93:b0:67,10.1.5.62:60170(11)<->10.1.5.1:5247,use=9,10.1.5.62:5246
vf=0,wtp=2303,id=AP_CLA_2203,base=08:5b:0e:e8:3b:07,10.1.5.52:49137(11)<->10.1.5.1:5247,use=7,10.1.5.52:5246
vf=0,wtp=2304,id=AP_GR_LL1,base=08:5b:0e:e8:3c:6f,10.1.5.45:39057(11)<->10.1.5.1:5247,use=9,10.1.5.45:5246
vf=0,wtp=2305,id=AP_ADM_VILLA,base=90:6c:ac:92:8e:5d,10.1.5.76:45589(11)<->10.1.5.1:5247,use=9,10.1.5.76:5246
vf=0,wtp=2306,id=AP_SCI_417,base=08:5b:0e:e8:05:f1,10.1.5.27:57790(11)<->10.1.5.1:5247,use=7,10.1.5.27:5246
vf=0,wtp=2307,id=AP_SCI_108,base=08:5b:0e:e8:10:7d,10.1.5.92:52132(11)<->10.1.5.1:5247,use=7,10.1.5.92:5246
vf=0,wtp=2308,id=AP_LIB_1204,base=08:5b:0e:e7:ff:43,10.1.5.7:35316(11)<->10.1.5.1:5247,use=7,10.1.5.7:5246
vf=0,wtp=2310,id=AP_LIB_136,base=08:5b:0e:e8:05:df,10.1.5.57:35036(11)<->10.1.5.1:5247,use=7,10.1.5.57:5246
vf=0,wtp=2311,id=AP_LIB_125,base=08:5b:0e:e7:f3:df,10.1.5.15:44015(11)<->10.1.5.1:5247,use=7,10.1.5.15:5246
vf=0,wtp=2312,id=AP_GR_PB,base=08:5b:0e:e8:05:a9,10.1.5.55:38279(11)<->10.1.5.1:5247,use=7,10.1.5.55:5246
vf=0,wtp=2313,id=AP_LIB_105,base=08:5b:0e:e7:f4:4b,10.1.5.30:35137(11)<->10.1.5.1:5247,use=7,10.1.5.30:5246
vf=0,wtp=2314,id=AP_LIB_DCR,base=08:5b:0e:e8:00:63,10.1.5.72:34918(11)<->10.1.5.1:5247,use=7,10.1.5.72:5246
vf=0,wtp=2315,id=AP_SCI_118,base=08:5b:0e:e8:0f:03,10.1.5.8:59077(11)<->10.1.5.1:5247,use=7,10.1.5.8:5246
vf=0,wtp=2316,id=AP_LIB_219,base=90:6c:ac:92:56:41,10.1.5.29:35910(11)<->10.1.5.1:5247,use=7,10.1.5.29:5246
vf=0,wtp=2317,id=AP_OBS_1,base=08:5b:0e:e8:06:a5,10.1.5.36:55363(11)<->10.1.5.1:5247,use=7,10.1.5.36:5246
vf=0,wtp=2318,id=AP_SCI_415,base=08:5b:0e:e8:0d:77,10.1.5.20:44949(11)<->10.1.5.1:5247,use=7,10.1.5.20:5246
vf=0,wtp=2319,id=AP_SC_CompLab,base=90:6c:ac:92:6d:3f,10.1.5.85:33427(11)<->10.1.5.1:5247,use=7,10.1.5.85:5246
vf=0,wtp=2321,id=AP_LIB_307,base=90:6c:ac:92:6f:37,10.1.5.4:48003(11)<->10.1.5.1:5247,use=7,10.1.5.4:5246
vf=0,wtp=2323,id=AP_LIB_1203_THEATER,base=08:5b:0e:e8:06:5d,10.1.5.87:42235(11)<->10.1.5.1:5247,use=7,10.1.5.87:5246
