PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,plus/minus
Andre Drummond,DET,24,78,37,41,33.7,15,6,11.3,52.9,0,0.1,0,3.1,5.1,60.5,5.1,10.9,16,3,2.6,1.5,1.6,3.2,45.5,62,0,-0.7
Andre Iguodala,GSW,34,64,46,18,25.4,6,2.3,5,46.3,0.5,1.8,28.2,0.9,1.4,63.2,0.8,3.1,3.8,3.3,1,0.8,0.6,1.5,18.8,0,0,4.3
Andre Ingram,LAL,32,2,1,1,32.1,12,4,8.5,47.1,2.5,4.5,55.6,1.5,1.5,100,0.5,2.5,3,3.5,1.5,1.5,1.5,1.5,28.4,0,0,10
Andre Roberson,OKC,26,39,24,15,26.6,5,2.2,4.2,53.7,0.2,0.9,22.2,0.3,1,31.6,1.9,2.8,4.7,1.2,0.8,1.2,0.9,2.3,17.8,0,0,4.8
Andrew Bogut,LAL,33,23,7,16,9.4,1.6,0.7,1.1,68,0,0,0,0.1,0.1,100,1.1,2.3,3.4,0.7,0.8,0.2,0.6,1.7,8,0,0,-1.3
Andrew Harrison,MEM,23,56,17,39,23.7,9.5,3.2,7.7,42.2,0.8,2.5,33.1,2.2,2.8,78,0.4,1.9,2.3,3.2,1.4,0.7,0.5,2.5,19,0,0,-3.6
Andrew White III,ATL,24,15,1,14,13.9,4.6,1.7,4.9,34.2,1.2,3.3,36.7,0.1,0.3,25,0.3,2,2.3,0.4,0.5,0.2,0.1,0.8,8.2,0,0,-5.1
Andrew Wiggins,MIN,23,82,47,35,36.3,17.7,6.9,15.9,43.8,1.4,4.1,33.1,2.5,3.8,64.3,1,3.4,4.4,2,1.7,1.1,0.6,2,29.4,1,0,2.5
Ante Zizic,CLE,21,32,21,11,6.7,3.7,1.5,2.1,73.1,0,0,0,0.7,0.9,72.4,0.8,1.1,1.9,0.2,0.3,0.1,0.4,0.9,7.3,0,0,-1.2
Anthony Brown,MIN,25,1,0,1,3.7,3,1,1,100,1,1,100,0,0,0,0,0,0,1,0,0,0,0,4.5,0,0,3
Anthony Davis,NOP,25,75,45,30,36.4,28.1,10.4,19.5,53.4,0.7,2.2,34,6.6,8,82.8,2.5,8.6,11.1,2.3,2.2,1.5,2.6,2.1,55.1,50,1,3.9
Anthony Tolliver,DET,33,79,37,42,22.2,8.9,2.8,6,46.4,2,4.6,43.6,1.3,1.7,79.7,0.6,2.4,3.1,1.1,0.7,0.4,0.3,1.8,15.5,1,0,0.3
Antonio Blakeney,CHI,21,19,3,16,16.5,7.9,2.8,7.5,37.1,0.8,2.7,28.8,1.6,2.1,76.9,0.2,1.5,1.7,1.1,0.6,0.4,0.1,1,12.3,0,0,-0.3
Antonius Cleveland,ATL,24,17,7,10,7.2,1.4,0.5,1.2,38.1,0.2,0.2,75,0.2,0.4,66.7,0.2,0.6,0.8,0.1,0.4,0.4,0.3,1.4,4.2,0,0,-2.6
Aron Baynes,BOS,31,81,54,27,18.3,6,2.6,5.5,47.1,0,0.3,14.3,0.7,1,75.6,1.6,3.8,5.4,1.1,1,0.3,0.6,2.5,15.8,4,0,2.3
Arron Afflalo,ORL,32,53,16,37,12.9,3.4,1.2,3.1,40.1,0.5,1.3,38.6,0.4,0.5,84.6,0.1,1.2,1.2,0.6,0.4,0.1,0.2,1.1,6.1,0,0,-1.8
Austin Rivers,LAC,25,61,30,31,33.7,15.1,5.6,13.2,42.4,2.2,5.9,37.8,1.7,2.6,64.2,0.4,1.9,2.4,4,1.8,1.2,0.3,2.5,26.5,0,0,-1
Avery Bradley,LAC,27,46,22,24,31.2,14.3,5.6,13.6,41.4,1.6,4.4,36.9,1.4,1.8,76.8,0.5,2,2.5,2,2.2,1.1,0.2,2,22,0,0,-2.7
Bam Adebayo,MIA,20,69,34,35,19.8,6.9,2.5,4.9,51.2,0,0.1,0,1.9,2.6,72.1,1.7,3.8,5.5,1.5,1,0.5,0.6,2,18,7,0,-0.5
Ben McLemore,MEM,25,56,7,49,19.5,7.5,2.8,6.7,42.1,1,2.8,34.6,0.9,1.1,82.8,0.6,1.9,2.5,0.9,1.1,0.7,0.3,2.5,13.6,0,0,-5.7
Ben Moore,IND,23,2,1,1,4.6,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,2,1.4,0,0,-7.5
Ben Simmons,PHI,21,81,51,30,33.7,15.8,6.7,12.3,54.5,0,0.1,0,2.4,4.2,56,1.8,6.3,8.1,8.2,3.4,1.7,0.9,2.6,42.1,38,12,4.8
Bismack Biyombo,ORL,25,82,25,57,18.2,5.7,2.2,4.3,52,0,0,0,1.2,1.9,65,1.8,4,5.7,0.8,1,0.3,1.2,1.9,17,7,0,-5.2
Blake Griffin,DET,29,58,28,30,34,21.4,7.5,17.2,43.8,1.9,5.6,34.5,4.5,5.7,78.5,1.3,6.1,7.4,5.8,2.8,0.7,0.3,2.4,39.1,16,3,1.1
Boban Marjanovic,LAC,29,39,18,21,8.7,6,2,3.8,53.4,0,0,0,2,2.5,79.4,1.2,2.5,3.7,0.6,0.9,0.3,0.3,1.3,12,1,0,1.4
Bobby Brown,HOU,33,20,17,3,5.7,2.5,1,2.9,32.8,0.6,2,27.5,0.1,0.1,50,0,0.4,0.4,0.6,0.5,0.2,0,0.3,3.9,0,0,-3
Bobby Portis,CHI,23,73,25,48,22.5,13.2,5.2,11.1,47.1,1.1,3.1,35.9,1.6,2.1,76.9,2.2,4.6,6.8,1.7,1.4,0.7,0.3,1.8,25.5,12,0,-1.1
Bogdan Bogdanovic,SAC,25,78,26,52,27.9,11.8,4.4,9.9,44.6,1.7,4.2,39.2,1.3,1.5,84,0.4,2.5,2.9,3.3,1.6,0.9,0.2,2.2,21.9,0,0,-4.6
Bojan Bogdanovic,IND,29,80,47,33,30.8,14.3,5.1,10.7,47.4,1.9,4.8,40.2,2.2,2.6,86.8,0.4,3,3.4,1.5,1.3,0.7,0.1,1.6,21.6,0,0,1.1
Bradley Beal,WAS,24,82,43,39,36.3,22.6,8.3,18.1,46,2.4,6.5,37.5,3.6,4.5,79.1,0.7,3.7,4.4,4.5,2.6,1.2,0.4,2,37,4,0,2.2
Brandan Wright,HOU,30,28,11,17,13.6,5,2.1,3.6,57.8,0,0,0,0.8,1.2,63.6,1.2,2.2,3.4,0.5,0.3,0.5,0.9,1.1,13.6,0,0,1.5
Brandon Ingram,LAL,20,59,27,32,33.5,16.1,6.1,12.9,47,0.7,1.8,39,3.3,4.8,68.1,1,4.4,5.3,3.9,2.5,0.8,0.7,2.8,30.3,6,0,-2.2
